Longitude,Satellite Name,Frequency,ID,Region
72.1°E,Intelsat 22,C,240312,Europe
70.5°E,Eutelsat 70B,Ku,240317,Europe
68.5°E,Intelsat 20,CKu,240327,Europe
66.0°E,Intelsat 17,CKu,240223,Europe
65.0°E,Amos 4,Ku,240316,Europe
62.0°E,Intelsat 39,CKu,240312,Europe
60.0°E,Intelsat 33e,CKu,240316,Europe
58.5°E,KazSat 3,Ku,240323,Europe
57.0°E,NSS 12,CKu,240311,Europe
56.0°E,Express AT1,Ku,240301,Europe
54.9°E,G-Sat 8,Ku,210716,Europe
53.0°E,Express AM6 (Eutelsat 53A),Ku,240321,Europe
52.5°E,Al Yah 1,Ku,240326,Europe
52.0°E,TurkmenÄlem/MonacoSat,Ku,240327,Europe
51.5°E,Belintersat 1 (ChinaSat 15),CKu,240314,Europe
50.0°E,Türksat 4B,Ku,230819,Europe
49.0°E,Yamal 601,C,231123,Europe
46.0°E,Azerspace 1,CKu,240317,Europe
45.0°E,Azerspace 2/Intelsat 38,Ku,240321,Europe
42.5°E,NigComSat 1R,CKu,240204,Europe
42.0°E,Türksat 3A,Ku,240324,Europe
40.0°E,Express AM7,CKu,240325,Europe
39.0°E,Hellas Sat 3,Ku,240328,Europe
38.0°E,Paksat 1R,CKu,240306,Europe
36.0°E,Express AMU1 (Eutelsat 36C),Ku,240321,Europe
33.0°E,Eutelsat 33F,Ku,240329,Europe
31.0°E,Türksat 5A,Ku,240323,Europe
30.5°E,Arabsat 5A,Ku,240217,Europe
28.3°E,Astra 2E (Eutelsat 28E),Ku,240326,Europe
26.0°E,Badr 6 (incl. 0.7°),,,Europe
26.0°E,Badr 4,,,Europe
26.0°E,Badr 5,Ku,240308,Europe
25.5°E,Es'hail 1,KuKa,240223,Europe
23.5°E,Astra 3B,Ku,240323,Europe
23.0°E,Angosat 2,,,Europe
21.5°E,Eutelsat 21B,Ku,240316,Europe
20.0°E,Arabsat 5C,C,240306,Europe
19.2°E,Astra 1KR,Ku,240309,Europe
17.0°E,Amos 17,CKu,240201,Europe
16.0°E,Eutelsat 16A,KuKa,240328,Europe
13.0°E,Hotbird 13F,Ku,240321,Europe
10.0°E,Eutelsat 10B,CKu,240323,Europe
9.0°E,Eutelsat Ka-Sat 9A,Ka,231105,Europe
7.0°E,Eutelsat 7B,KuKa,240329,Europe
4.9°E,SES 5,CKu,240326,Europe
3.0°E,Eutelsat 3B,CKu,240328,Europe
1.9°E,BulgariaSat 1,Ku,240317,Europe
